Zhang Xiaorui|None!!!Intelligent Information Processing and Data Mining in the Application of Mobile Learning
Tian Wang|Huaqiao University!!!Event Detection through Differential Pattern Mining in Cyber-Physical Systems
Linbo Tao|None!!!A Privacy Filtering and Processing Model in Cloud Computing
Zi-wei Zheng|Ningbo University!!!Cyber Physical Systems—Construct wise earth
Jianfeng Zhan|None!!!Benchmarking Big Data Systems: A Review
Jianfeng Zhao|Xiamen University!!!Multi-objective optimization model of virtual resources scheduling under cloud computing and it's solution
Yikang Shen|None!!!Influencing Factors Analysis of People's Answering Behaviours on Social Network Based Questions
Sai Liang|None!!!Research on microblogging original posts release behavior based on panel data of mobile applications
Haoye Dong|None!!!A Method for Latent-Friendship Recommendation Based on Community Detection in Social Network
Chao Ma|None!!!Inferring social relationship in mobile social networks using tempo-spatial information
Jian Zhou|Beihang University!!!Reliability of cyber physical systems assessment of the aircraft fuel management system*@*A Threat to Mobile Cyber-Physical Systems: Sensor-Based Privacy Theft Attacks on Android Smartphones
Yuxin Cheng|None!!!Dynamic Transmission Mode Selection and Resource Sharing Schemes for M2M Communications in Cellular Networks
Zhiwu Huang|Central South University!!!Flocking of Mobile Agents Using a New Interaction Model: A Cyber-Physical Perspective*@*The high-speed Railway Safety Comprehensive Monitor and Control System based on the Cyber Physical System architecture
Jingxun Wang|Xidian University!!!Learning on dynamic social network
Chunqi Shi|None!!!A single-chip UHF RFID reader transceiver for mobile applications
Xiaoguang Gu|None!!!A Hierarchical Service Discovery Framework for Ubiquitous Computing
Jiankang Wu|University of Chinese Academy of Sciences!!!Model-driven multi-target tracking in crowd scenes
Jiamin Huang|None!!!A crowd-based route recommendation system-CrowdPlanner
Chuan Fu|None!!!A Secure Architecture for Data Storage in the Cloud Environments
Jianfeng Wang|None!!!A VM-friendly NIC architecture for cloud computing
Ziwei Liu|None!!!Spatio-temporal UML Statechart for Cyber-Physical Systems*@*Demo Abstract: Monitoring Wide-Area Nature Reserves Based on Long-Distance Wireless Mesh Networks
Zhen Xu|None!!!Choquet integral based QoS-to-QoE mapping for mobile VoD applications
Wei Hong|Southeast University!!!Virtual Phase Shifter Array and Its Application on Ku Band Mobile Satellite Reception
Tunde J. Ogundele|None!!!EventRec: Personalized Event Recommendations for Smart Event-Based Social Networks
